Month,Sales 
10-Jan,322
10-Feb,285
10-Mar,245
10-Apr,212
10-May,289
10-Jun,212
10-Jul,174
10-Aug,200
10-Sep,152
10-Oct,214
10-Nov,314
10-Dec,400
11-Jan,374
11-Feb,344
11-Mar,300
11-Apr,323
11-May,292
11-Jun,280
11-Jul,225
11-Aug,165
11-Sep,191
11-Oct,243
11-Nov,523
11-Dec,520
12-Jan,565
12-Feb,523
12-Mar,403
12-Apr,334
12-May,350
12-Jun,291
12-Jul,236
12-Aug,262
12-Sep,278
12-Oct,291
12-Nov,423
12-Dec,569
13-Jan,580
13-Feb,591
13-Mar,404
13-Apr,414
13-May,375
13-Jun,391
13-Jul,304
13-Aug,221
13-Sep,344
13-Oct,291
13-Nov,603
13-Dec,614
14-Jan,584
14-Feb,590
14-Mar,412
14-Apr,403
14-May,397
14-Jun,423
14-Jul,313
14-Aug,309
14-Sep,314
14-Oct,301
14-Nov,621
14-Dec,530
15-Jan,503
15-Feb,651
15-Mar,380
15-Apr,380
15-May,375
15-Jun,404
15-Jul,308
15-Aug,314
15-Sep,343
15-Oct,313
15-Nov,591
15-Dec,522
16-Jan,574
16-Feb,512
16-Mar,322
16-Apr,356
16-May,391
16-Jun,389
16-Jul,369
16-Aug,323
16-Sep,304
16-Oct,312
16-Nov,674
16-Dec,614
17-Jan,700
17-Feb,700
17-Mar,350
17-Apr,348
17-May,334
17-Jun,409
17-Jul,303
17-Aug,348
17-Sep,377
17-Oct,398
17-Nov,664
17-Dec,681
18-Jan,734
18-Feb,689
18-Mar,421
18-Apr,414
18-May,423
18-Jun,401
18-Jul,383
18-Aug,386
18-Sep,369
18-Oct,391
18-Nov,673
18-Dec,721
19-Jan,771
19-Feb,786
19-Mar,434
19-Apr,311
19-May,195
19-Jun,200
19-Jul,256
19-Aug,270
19-Sep,260
19-Oct,281
19-Nov,531
19-Dec,537
20-Jan,514
20-Feb,578
20-Mar,500
20-Apr,414
20-May,405
20-Jun,414
20-Jul,336
20-Aug,322
20-Sep,423
20-Oct,354
20-Nov,717
20-Dec,665
21-Jan,809
21-Feb,829
21-Mar,511
21-Apr,423
21-May,439
21-Jun,423
21-Jul,382
21-Aug,391
21-Sep,420
21-Oct,408
21-Nov,843
21-Dec,858
22-Jan,823
22-Feb,836
22-Mar,514
22-Apr,477
22-May,514
22-Jun,574
22-Jul,430
22-Aug,419
22-Sep,431
22-Oct,451
22-Nov,895
